"","LL_MAPover50_by_MATplus20","LL_MAPover50_plus_MATplus20","LL_MATplus20","LL_MAPover50","LW_MAPover50_by_MATplus20","LW_MAPover50_plus_MATplus20","LW_MATplus20","LW_MAPover50","LA_MAPover50_by_MATplus20","LA_MAPover50_plus_MATplus20","LA_MATplus20","LA_MAPover50"
"AIC.OLS",1160.51312875104,1158.78686329292,1197.44429831991,1176.4449722294,1518.57970993525,1570.21585575711,1741.43804660214,1651.90385011158,3152.76372938915,3174.85908717223,3314.44171403113,3241.35410930351
"OLS.coef.(Intercept)",1.30406662500277,1.3046217518912,1.3046217518912,1.3046217518912,-0.270895128848279,-0.262222488808279,-0.262222488808279,-0.262222488808279,1.03317149615448,1.04239926308291,1.04239926308291,1.04239926308291
"OLS.se.(Intercept)",0.00810680780592888,0.00803524842637624,0.00812670270585883,0.00807814536134737,0.00897903243455604,0.0090363457966311,0.00949157561145437,0.00925211922537398,0.0143144404251466,0.0142848708449071,0.0148696347783653,0.0145626912533535
"OLS.t.(Intercept)",160.860681074621,162.362341854757,160.535188638148,161.500157961208,-30.1697461082479,-29.0186425696591,-27.6268661329349,-28.3418838885185,72.1768693339549,72.9722567603435,70.1025464727321,71.5801251944323
"OLS.t.P.(Intercept)",0,0,0,0,2.52647548461475e-161,1.79682344858352e-151,9.8081843470266e-140,9.56569040028763e-146,0,0,0,0
"OLS.coef.MAPover50",0.221976278897791,0.223049007870862,NA,0.252417432366687,0.510986262874383,0.527745300200604,NA,0.596519003402586,0.732962541772173,0.750794308071464,NA,0.848936435769272
"OLS.se.MAPover50",0.034875603798237,0.034807913362517,NA,0.0343567965506027,0.0386279266976177,0.0391445696402358,NA,0.0393497719673461,0.0615809286234432,0.0618806688206544,NA,0.0619359269040509
"OLS.t.MAPover50",6.36480102773195,6.40799709962082,NA,7.346943187643,13.2284154641387,13.4819543311097,NA,15.159401785037,11.902427556007,12.132937836329,NA,13.7066881566884
"OLS.t.P.MAPover50",2.49202465302725e-10,1.89092342448318e-10,NA,3.09544111833302e-13,3.83476376171598e-38,1.7415179426704e-39,NA,7.23312743453123e-49,1.82167971854982e-31,1.38334061363815e-32,NA,1.07993076591564e-40
"OLS.coef.MATplus20",0.400701374724975,0.37983872526984,0.483899728302963,NA,1.21542299723457,0.889489858744057,1.13570348600523,NA,1.61612437195954,1.2693285840139,1.6196032143082,NA
"OLS.se.MATplus20",0.0943787799757664,0.0855029582301528,0.0849021177716695,NA,0.104533146316417,0.0961556203621959,0.0991613572650364,NA,0.166647520911139,0.152005096838811,0.155347565780194,NA
"OLS.t.MATplus20",4.24567233045249,4.4424044867244,5.69950127279902,NA,11.6271540660944,9.25052384242912,11.4530853280855,NA,9.69786026892834,8.35056593766666,10.4256748805438,NA
"OLS.t.P.MATplus20",2.29384724767149e-05,9.45322567035896e-06,1.40723950847046e-08,NA,3.74124732443847e-30,6.30456423782024e-20,2.44635408706113e-29,NA,1.07193448599361e-21,1.36333329089819e-16,9.8672427857366e-25,NA
"OLS.coef.MAPover50:MATplus20",0.129871199947578,NA,NA,NA,2.02895264522718,NA,NA,NA,2.15882384517476,NA,NA,NA
"OLS.se.MAPover50:MATplus20",0.248500590122546,NA,NA,NA,0.275237172526133,NA,NA,NA,0.438785151699468,NA,NA,NA
"OLS.t.MAPover50:MATplus20",0.52261928184369,NA,NA,NA,7.37165197057289,NA,NA,NA,4.92000204841337,NA,NA,NA
"OLS.t.P.MAPover50:MATplus20",0.601305448657278,NA,NA,NA,2.58800498354914e-13,NA,NA,NA,9.46751659920046e-07,NA,NA,NA
"OLS.F.(Intercept)",26350.5744314854,26361.530052561,25771.5467910858,26082.301021495,867.763542467673,842.081616585632,763.243732327103,803.262382350266,5395.60379184262,5324.9502566975,4914.36702196156,5123.7143228506
"OLS.F.P.(Intercept)",0,0,0,0,3.31010654113714e-155,1.796823448583e-151,9.80818434702548e-140,9.56569040028763e-146,0,0,0,0
"OLS.F.MAPover50",54.5327686188655,54.5554413826317,NA,53.9775742024539,248.260770215371,240.913360018857,NA,229.807462480183,197.842781077306,195.252099399161,NA,187.873300224702
"OLS.F.P.MAPover50",2.35460937053066e-13,2.32784922018306e-13,NA,3.09544111833302e-13,2.10302321687529e-52,5.32593639830802e-51,NA,7.23312743453123e-49,1.19089191281294e-42,3.8276095939963e-42,NA,1.07993076591564e-40
"OLS.F.MATplus20",19.7267559480746,19.7349576236691,32.4843147586377,NA,88.1819843209458,85.5721913593497,131.173163532407,NA,70.6571824480747,69.7319514793187,108.694696714802,NA
"OLS.F.P.MATplus20",9.49375318454987e-06,9.45322567035896e-06,1.40723950847046e-08,NA,1.79454785315783e-20,6.30456423782024e-20,2.44635408706113e-29,NA,8.68841002265117e-17,1.36333329089819e-16,9.8672427857366e-25,NA
"OLS.F.MAPover50:MATplus20",0.273130913754815,NA,NA,NA,54.3412527752511,NA,NA,NA,24.2064201563918,NA,NA,NA
"OLS.F.P.MAPover50:MATplus20",0.601305448657278,NA,NA,NA,2.58800498354914e-13,NA,NA,NA,9.46751659920046e-07,NA,NA,NA
"OLS.resid.norm.P",1.40391771322715e-11,1.36843387781665e-11,4.28510618848306e-11,1.86325029650981e-10,0.402351181692635,0.281014264444586,0.00664949215566088,0.0104144735702229,1.55244098177862e-05,2.68290396046335e-05,0.00326429360776084,5.28154645315751e-05
"AIC.PGLS",567.165482952251,568.638254582637,596.462644701854,570.46168428186,675.773182735903,682.369227113987,708.233457110878,685.285218135969,2494.64159272233,2500.53138189053,2537.73985801186,2504.49366918791
"lambda",0.852744373868217,0.850949498815545,0.853629334641523,0.850080303653379,0.833396138468026,0.833422451801892,0.838727675707991,0.833365691302296,0.846826662775718,0.845243521674684,0.850456917402211,0.844588502984807
"lambda.P",0,0,0,0,0,0,0,0,0,0,0,0
"PGLS.coef.(Intercept)",1.32372022029459,1.33467567455968,1.35677236495176,1.34104035128687,0.0566543013029316,0.0742994397215675,0.0973462899577215,0.0817628066743759,1.38346421082029,1.41169785354518,1.45692789702134,1.42537777013563
"PGLS.se.(Intercept)",0.217427248874185,0.216587544297235,0.219716472614499,0.216298522785481,0.214638732228556,0.215032341969498,0.219210144417196,0.2152193809809,0.371740238122085,0.370981924181701,0.379524121730377,0.370908538046453
"PGLS.t.(Intercept)",6.08810637649454,6.16229192168148,6.17510534739137,6.19995150228963,0.263951900547959,0.34552681257644,0.444077486543936,0.379904478405837,3.72158854206667,3.80530090963072,3.83882818930908,3.84293599075122
"PGLS.t.P.(Intercept)",1.40126764527807e-09,8.87913839909673e-10,8.20126233254862e-10,7.02939103183919e-10,0.791848096163337,0.729739908717319,0.657041467628455,0.704062421863796,0.000204237004893029,0.000146506559271135,0.000128020209703681,0.000125913240797776
"PGLS.coef.MAPover50",0.203843301109124,0.199539758040599,NA,0.209037733906107,0.206339200849507,0.199478200533393,NA,0.210337409848979,0.409081318454104,0.397982483053865,NA,0.418441046633511
"PGLS.se.MAPover50",0.0364482183070257,0.0363990702344791,NA,0.0361071852268387,0.0376036813638147,0.0376122975688087,NA,0.0373340429036185,0.0631874984016449,0.0631840173871878,NA,0.0627221446759558
"PGLS.t.MAPover50",5.59268218248769,5.48200151144479,NA,5.78936664801907,5.48720745857781,5.30353670015674,NA,5.63393068337083,6.47408631140641,6.29878408356107,NA,6.67134468687767
"PGLS.t.P.MAPover50",2.59001392198713e-08,4.81825035758199e-08,NA,8.35632124152483e-09,4.68113090009354e-08,1.28030126025111e-07,NA,2.04876896154081e-08,1.23591523181232e-10,3.78605791364128e-10,NA,3.38984283261491e-11
"PGLS.coef.MATplus20",0.331135171453627,0.200133615798605,0.275133963313705,NA,0.446345285428811,0.235087955894029,0.308301342928936,NA,0.775576784168407,0.434267350446242,0.582909771573713,NA
"PGLS.se.MATplus20",0.123981757999879,0.102351020033109,0.102219155663164,NA,0.128015819338136,0.106045414186958,0.105855604977352,NA,0.214993008163785,0.177830510829173,0.178012618944898,NA
"PGLS.t.MATplus20",2.67083784578979,1.95536513201202,2.6916086474079,NA,3.486641633327,2.21686112215629,2.91247065278118,NA,3.60745119477357,2.4420294831375,3.2745418556768,NA
"PGLS.t.P.MATplus20",0.00763638790291868,0.0506990322677331,0.00717856180576433,NA,0.000501217634337408,0.0267607745887672,0.00363126251062171,NA,0.000317912320700775,0.0147034083292219,0.00107899440053283,NA
"PGLS.coef.MAPover50:MATplus20",0.440097226500633,NA,NA,NA,0.717875928173903,NA,NA,NA,1.15166811496901,NA,NA,NA
"PGLS.se.MAPover50:MATplus20",0.235956736149207,NA,NA,NA,0.244829312811582,NA,NA,NA,0.409813106123809,NA,NA,NA
"PGLS.t.MAPover50:MATplus20",1.86516068022884,NA,NA,NA,2.93214860561395,NA,NA,NA,2.81022763244931,NA,NA,NA
"PGLS.t.P.MAPover50:MATplus20",0.0623263218338103,NA,NA,NA,0.00341002922750302,NA,NA,NA,0.00500580505392113,NA,NA,NA
"PGLS.F.(Intercept)",39.5928044235449,39.8637032902259,38.7336058326114,39.9576664027011,0.251368094177849,0.250284278675119,0.247047826650292,0.249718399206167,15.8262926029088,15.8678418455394,15.1916714868401,15.8657440804247
"PGLS.F.P.(Intercept)",3.94500675414833e-10,3.44422327060767e-10,6.06549271208504e-10,3.28554954353274e-10,0.616176536519299,0.61693791951805,0.619223942954013,0.617336253562699,7.22659936489535e-05,7.07089721921566e-05,0.000100792967858506,7.07850709423419e-05
"PGLS.F.MAPover50",33.5877268937853,33.5608679679367,NA,33.5167661851956,31.9494381397153,31.8104564703288,NA,31.7411749450273,44.7451870260883,44.6144450767366,NA,44.506839931131
"PGLS.F.P.MAPover50",8.06403018824192e-09,8.17324732138939e-09,NA,8.35632124152483e-09,1.84431669190132e-08,1.97840477056668e-08,NA,2.04876896154081e-08,3.01140842595746e-11,3.21347426927632e-11,NA,3.38984283261491e-11
"PGLS.F.MATplus20",3.83926422044416,3.82345279948837,7.24475711080096,NA,4.93581242790531,4.91447323492806,8.48248530331166,NA,5.99369598031688,5.96350799651281,10.7226243645792,NA
"PGLS.F.P.MATplus20",0.0502242141743493,0.0506990322677331,0.00717856180576433,NA,0.026433332834365,0.0267607745887672,0.00363126251062171,NA,0.0144547939123341,0.0147034083292219,0.00107899440053283,NA
"PGLS.F.MAPover50:MATplus20",3.47882436307172,NA,NA,NA,8.59749544540385,NA,NA,NA,7.89737934618167,NA,NA,NA
"PGLS.F.P.MAPover50:MATplus20",0.0623263218338103,NA,NA,NA,0.00341002922750302,NA,NA,NA,0.00500580505392113,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,0.00145650212016025,0.000733137435857406,0.0018057014361329,0.000680219668978033,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1,0.638541082430841,0.804053741052925,0.572355799550578,0.822339320773919,1,1,1,1
"PGLS.phy.resid.norm.P",5.90274844206497e-12,1.0766624737664e-11,3.84686304535603e-10,1.26937739205631e-11,4.40208370261831e-06,2.51953210110545e-06,5.03426280557409e-06,2.87016581074425e-06,0.000316845453786525,0.000341027443282358,0.00781052214404382,0.000315707109334878
