Species,C3C4,MAT,MAP,AI,PET,GST,GSP,GSL,LW,LL,LA,VD1,VD2,VD3,VD4,VD5,VLA1,VLA2,VLA3,VLA4,VLA5,VLAMajor,VLAMinor,VLATotal,VSA1,VSA2,VSA3,VSA4,VSA5,VSAMajor,VSAMinor,VSATotal,VPA1,VPA2,VPA3,VPA4,VPA5,VPAMajor,VPAMinor,VPATotal,VVA1,VVA2,VVA3,VVA4,VVA5,VVAMajor,VVAMinor,VVATotal,CD1,CD2,CD3,CD4,VN5
Chasmanthium latifolium,C3,16.2,1049,0.871,3.47,16.24327587,1049.261079,12,1.27,12.7,16.2,0.0634,0.0481,0.0227,NA,0.0124,0.79,7.88,36.5,NA,7.38,8.67,43.9,52.6,0.0157,0.118,0.26,NA,0.0287,0.134,0.289,0.423,0.005,0.0377,0.0827,NA,0.00914,0.0427,0.092,0.135,0.000251,0.00144,0.00148,NA,0.000089,0.00169,0.00157,0.00326,0.0209,0.0145,0.00424,NA,2.96
Danthonia californica,C3,10.4,1142,0.983,2.98,10.3959891,1142.600035,12,0.4,30.1,12,0.0679,0.0662,0.0256,NA,0.0145,2.5,13.4,46.8,NA,4.28,15.9,51,66.9,0.0533,0.28,0.379,NA,0.0203,0.333,0.399,0.732,0.017,0.089,0.121,NA,0.00647,0.106,0.127,0.233,0.000906,0.00466,0.00247,NA,0.000079,0.00557,0.00255,0.00812,0.0155,0.0147,0.0025,NA,2.33
Danthonia decumbens,C3,7.87,868,1.54,1.6,11.09690284,583.3064164,8,0.4,25.9,10.4,0.0743,0.0761,0.0321,NA,0.0224,2.5,15.3,34.1,NA,6.75,17.8,40.8,58.7,0.0583,0.364,0.344,NA,0.0464,0.422,0.39,0.812,0.0186,0.116,0.109,NA,0.0148,0.134,0.124,0.259,0.00109,0.00691,0.00276,NA,0.000258,0.00801,0.00302,0.011,0.0136,0.0165,0.00306,NA,2.11
Ehrharta calycina,C3,15.6,502,0.396,3.46,14.52851519,453.8682521,10,0.93,47.8,43.6,0.0953,0.0897,0.0254,NA,0.0155,1.11,8.01,30,NA,9.02,9.12,39,48.1,0.033,0.223,0.238,NA,0.0442,0.256,0.282,0.538,0.0105,0.071,0.0756,NA,0.0141,0.0815,0.0897,0.171,0.000788,0.00496,0.00151,NA,0.000182,0.00575,0.00169,0.00744,0.0249,0.0241,0.00543,NA,2.7
Lasiacis sorghoidea,C3,23.2,1923,1.58,3.46,23.24233423,1923.011219,12,3.15,11.7,36.2,0.106,0.0622,0.0318,NA,0.0133,0.33,3.55,26.7,NA,7.55,3.88,34.3,38.1,0.011,0.069,0.263,NA,0.0315,0.08,0.294,0.374,0.00351,0.0219,0.0836,NA,0.01,0.0254,0.0936,0.119,0.000302,0.00108,0.00214,NA,0.000105,0.00139,0.00224,0.00363,0.0227,NA,0.00326,NA,2.3
Nassella viridula,C3,6.7,437,0.431,2.92,14.0394703,345.922847,7,0.33,33.5,11.7,0.0767,0.0737,0.0336,NA,0.0154,3.33,35.2,23.3,NA,4.16,38.5,27.4,66,0.0801,0.808,0.243,NA,0.0201,0.888,0.263,1.151,0.0255,0.257,0.0774,NA,0.00641,0.283,0.0838,0.367,0.00154,0.0148,0.00203,NA,0.000078,0.0164,0.00211,0.0185,0.0185,0.0189,0.00414,NA,1.9
Oplismenus hirtellus,C3,17.4,1212,0.955,3.42,17.38157587,1212.414519,12,1.2,5.07,6.08,0.048,0.0369,0.0228,NA,0.0176,0.83,5.24,28.7,NA,9.22,6.07,37.9,44,0.0126,0.061,0.206,NA,0.05,0.074,0.256,0.33,0.004,0.0194,0.0657,NA,0.0159,0.0234,0.0816,0.105,0.000154,0.00057,0.0012,NA,0.000218,0.00072,0.00142,0.00215,0.0112,0.0123,0.00299,NA,2.91
Oryza sativa,C3,24.1,1593,1.27,3.61,24.08118649,1593.71362,12,0.8,37.2,29.8,0.0812,0.0637,0.0198,NA,0.0117,1.25,11.1,43.9,NA,10.1,12.3,54,66.3,0.0319,0.228,0.284,NA,0.037,0.26,0.321,0.581,0.0102,0.0727,0.0903,NA,0.0118,0.0829,0.102,0.185,0.000649,0.00379,0.0015,NA,0.000108,0.00444,0.00161,0.00605,0.0316,0.0255,0.0052,NA,6.29
Phragmites australis,C3,8.81,760,1.27,1.7,11.15214242,579.8155185,9,1,21.3,22,0.0714,0.0808,0.029,NA,0.0159,1.13,12,34.2,NA,6.46,13.1,40.7,53.8,0.0253,0.3,0.277,NA,0.0322,0.325,0.309,0.634,0.00805,0.0955,0.0881,NA,0.0103,0.104,0.0984,0.202,0.000452,0.00652,0.00216,NA,0.000131,0.00697,0.00229,0.00926,0.0301,0.0275,0.006,NA,3.22
Sacciolepis africana,C3,26.1,1088,0.847,3.71,25.98043883,1013.570882,10,1.23,29.5,37.7,0.0774,0.0905,0.0323,NA,0.0162,0.84,11.1,33.3,NA,7.39,12,40.7,52.6,0.0226,0.321,0.337,NA,0.0381,0.344,0.376,0.719,0.0072,0.102,0.107,NA,0.0121,0.109,0.12,0.229,0.000594,0.00748,0.00273,NA,0.000159,0.00807,0.00289,0.011,0.0436,0.0364,0.0055,NA,3.12
Triticum aestivum,C3,10.8,662,0.984,2.34,10.76099592,662.2695779,12,1.17,43.9,52.7,0.107,0.0765,0.0326,NA,0.0165,0.83,6.98,21,NA,4.82,7.82,25.8,33.6,0.0279,0.168,0.214,NA,0.0249,0.196,0.239,0.435,0.00889,0.0534,0.0682,NA,0.00792,0.0623,0.0762,0.138,0.00075,0.00321,0.00175,NA,0.000103,0.00396,0.00186,0.00582,0.0299,0.0234,0.00576,NA,1.11
Alloteropsis cimicina,C4,23.5,1056,0.767,4.15,23.46533247,1056.286262,12,1.27,6.93,8.8,0.0543,0.0467,0.0217,NA,0.0092,0.79,7.49,44.9,NA,10,8.28,54.9,63.2,0.0135,0.108,0.299,NA,0.0286,0.121,0.328,0.449,0.00428,0.0344,0.0951,NA,0.00912,0.0387,0.104,0.143,0.000183,0.00126,0.00167,NA,0.000066,0.00144,0.00174,0.00317,0.0148,0.0138,0.00435,NA,4.97
Alloteropsis semialata ssp. semialata,C3,25.3,1235,0.805,4.36,25.2957036,1235.322458,12,0.4,32.5,13,0.0783,0.0659,0.018,0.0128,0.0096,2.5,13.9,76.9,41.7,6.63,16.4,125,142,0.0615,0.285,0.429,0.163,0.0202,0.346,0.611,0.957,0.0196,0.0906,0.136,0.0518,0.00643,0.11,0.195,0.305,0.00122,0.0047,0.00195,0.000509,0.00005,0.00592,0.00251,0.00843,0.0229,0.0215,0.00591,0.0053,10.5
Andropogon gerardii,C4,11.7,887,0.84,3.1,15.51791444,756.2777921,9,0.87,43.5,37.3,0.102,0.0767,0.0264,0.0173,0.0096,1.17,10.9,38.3,58.9,5.58,12,103,115,0.0377,0.259,0.311,0.317,0.0169,0.297,0.645,0.942,0.012,0.0825,0.099,0.101,0.00537,0.0945,0.205,0.3,0.000981,0.00499,0.00207,0.00143,0.000041,0.00597,0.00354,0.00951,0.0322,0.0281,0.00747,0.00496,8.34
Aristida purpurea,C4,17.1,419,0.285,4.39,17.12059175,419.5108154,12,0.2,35.3,7.07,0.0811,0.069,0.0298,NA,0.013,5,23.4,58.9,NA,6.67,28.4,65.6,94,0.1274,0.506,0.536,NA,0.0273,0.634,0.564,1.197,0.0406,0.161,0.171,NA,0.00869,0.202,0.179,0.381,0.00259,0.00874,0.00394,NA,0.000089,0.0113,0.00403,0.0154,0.0192,0.0163,0.00557,NA,3.53
Aristida ternipes,C4,22,835,0.577,4.25,22.77049677,799.4522721,10,0.37,48.9,17.8,0.0918,0.0896,0.0182,NA,0.011,2.78,13.4,63.5,NA,3.65,16.1,67.2,83.3,0.0783,0.373,0.367,NA,0.0127,0.451,0.38,0.831,0.0249,0.119,0.117,NA,0.00403,0.144,0.121,0.264,0.00182,0.00834,0.00172,NA,0.000035,0.0102,0.00176,0.0119,0.0263,0.0189,0.00704,NA,2.77
Cenchrus setaceus,C4,18.2,579,0.492,3.75,18.21317477,577.3508818,12,0.4,38.7,15.5,0.0762,0.0659,0.0296,0.0177,0.0106,2.5,12.7,23.4,57.9,4.58,15.2,85.9,101,0.0598,0.265,0.214,0.318,0.0152,0.325,0.548,0.873,0.019,0.0845,0.0681,0.101,0.00484,0.104,0.174,0.278,0.00115,0.00447,0.00158,0.0014,0.00004,0.00562,0.00303,0.00865,0.0278,0.0231,0.00658,0.00603,5.99
Chloris elata,C4,23.4,1321,1.11,3.6,23.40094731,1321.408414,12,1.13,47.7,53.9,0.129,0.0964,0.0183,NA,0.0112,0.89,11.2,70.3,NA,9.14,12.1,79.5,91.5,0.0363,0.34,0.405,NA,0.0323,0.376,0.437,0.813,0.0116,0.108,0.129,NA,0.0103,0.12,0.139,0.259,0.00121,0.00834,0.00186,NA,0.000091,0.00954,0.00195,0.0115,0.0169,0.0161,0.00327,NA,7.77
Chloris gayana,C4,18.3,943,0.781,3.54,18.30744611,943.3997467,12,0.87,58.9,51.4,0.101,0.0937,0.026,NA,0.0093,1.17,9.87,62.5,NA,9.47,11,72,83,0.0365,0.291,0.517,NA,0.0279,0.327,0.544,0.872,0.0116,0.0925,0.164,NA,0.00887,0.104,0.173,0.277,0.00092,0.00683,0.00355,NA,0.000067,0.00775,0.00361,0.0114,0.0328,0.0326,0.00622,NA,9.52
Digitaria ciliaris,C4,20.8,1167,0.961,3.8,20.7945438,1166.155505,12,1.47,19.1,28,0.0738,0.0577,0.0176,0.0133,0.0088,0.68,6.51,34,52.5,8.35,7.19,94.8,102,0.0158,0.117,0.189,0.22,0.0232,0.133,0.432,0.565,0.00503,0.0372,0.0602,0.0699,0.0074,0.0422,0.138,0.18,0.000293,0.00169,0.00084,0.000733,0.000052,0.00198,0.00163,0.00361,0.0263,0.0242,0.00523,0.00406,9.74
Digitaria eriantha,C4,18.8,690,0.532,3.79,18.7906803,689.4261996,12,1.07,41.3,44.3,0.0905,0.0733,0.0232,0.0157,0.007,0.94,11.7,43.6,44.5,9.41,12.7,97.5,110,0.0266,0.276,0.31,0.218,0.0205,0.303,0.548,0.851,0.00846,0.0879,0.0986,0.0695,0.00652,0.0963,0.175,0.271,0.000609,0.00535,0.00178,0.000854,0.000036,0.00596,0.00267,0.00862,0.0278,0.0255,0.00628,0.00598,7.49
Echinochloa crus-galli,C4,10.6,773,1.08,2.05,11.9623736,655.2973762,10,1.87,27.4,51.3,0.0827,0.0704,0.0236,0.0173,0.0109,0.55,4.74,53.4,42.5,8.8,5.29,105,110,0.0142,0.105,0.403,0.231,0.0304,0.119,0.665,0.784,0.00451,0.0334,0.128,0.0735,0.00968,0.0379,0.212,0.249,0.000294,0.00185,0.00246,0.00101,0.000086,0.00214,0.00356,0.0057,0.0313,0.0276,0.00811,0.00721,12.3
Eragrostis cilianensis,C4,15.8,654,0.622,3.47,15.76957148,654.3129576,12,0.5,51.3,26.4,0.0923,0.0651,0.0184,NA,0.0124,2.06,14.1,74.2,NA,5.2,16.1,79.4,95.5,0.0609,0.288,0.433,NA,0.0202,0.349,0.453,0.802,0.0194,0.0916,0.138,NA,0.00643,0.111,0.144,0.255,0.00142,0.00469,0.00202,NA,0.000063,0.0061,0.00208,0.00818,0.0305,0.0241,0.00446,NA,3.39
Eriachne aristidea,C4,23,287,0.157,5.86,21.60537538,185.0923596,10,0.53,23.3,12.5,0.066,0.0666,0.0221,NA,0.0102,1.94,24,55.6,NA,5.54,26,61.1,87.1,0.0405,0.5,0.383,NA,0.0177,0.541,0.401,0.942,0.0129,0.159,0.122,NA,0.00565,0.172,0.128,0.3,0.000673,0.00832,0.00218,NA,0.000046,0.00899,0.00223,0.0112,0.0244,0.0236,0.00647,NA,4.28
Panicum virgatum,C4,13.3,889,0.8,3.3,16.92077695,744.8195744,9,0.73,30,23.9,0.0922,0.0766,0.025,NA,0.0137,1.44,10.6,59.2,NA,4.77,12.1,64,76,0.0407,0.24,0.468,NA,0.0205,0.281,0.489,0.77,0.013,0.0764,0.149,NA,0.00651,0.0893,0.156,0.245,0.000949,0.00454,0.00299,NA,0.00007,0.00549,0.00307,0.00854,0.0287,0.0237,0.00478,NA,3.65
Paspalum dilatatum,C4,16.2,937,0.805,3.34,16.18994535,937.0457378,12,0.97,41.1,40.1,0.0619,0.0595,0.0205,0.0165,0.014,1.05,6.77,39.4,60,7.82,7.82,107,115,0.0205,0.126,0.253,0.311,0.0335,0.147,0.597,0.744,0.00654,0.0401,0.0806,0.0989,0.0107,0.0466,0.19,0.237,0.000319,0.00187,0.00129,0.00129,0.00012,0.00219,0.0027,0.00489,0.0226,0.0219,0.00607,0.00555,11.3
Stipagrostis zeyheri,C4,16.6,483,0.393,3.72,16.55338082,483.1103515,12,0.13,48,6.42,0.0618,0.0608,0.0368,NA,0.0121,8.33,20.7,62.2,NA,4.39,28.2,66.6,94.8,0.1428,0.393,0.743,NA,0.0175,0.536,0.761,1.296,0.0455,0.125,0.237,NA,0.00556,0.171,0.242,0.413,0.00217,0.00595,0.00733,NA,0.000056,0.00811,0.00739,0.0155,0.0182,0.0139,0.00218,NA,1.92
